Started Training CB and IGL on Sat Aug 14 20:28:51 UTC 2021.
Saving to ../notes/result_2021-08-14_20:28:51.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
|: -----------------------------------------------------------------------------------------------------:|
ds_1041_10.vw.gz 		3468	0.973760	0.940600	0.560265	
ds_1044_3.vw.gz 		10936	0.740856	0.733815	0.636613	
ds_1047_11.vw.gz 		203	0.970443	0.798030	0.911330	
ds_1057_6.vw.gz 		76	0.921053	0.960526	0.276316	
ds_1077_3.vw.gz 		105	0.619048	0.714286	0.704762	
ds_1078_3.vw.gz 		105	0.904762	0.742857	0.457143	
ds_1079_5.vw.gz 		95	0.768421	0.705263	0.768421	
ds_1080_5.vw.gz 		113	0.831858	0.893805	0.805310	
ds_1081_4.vw.gz 		89	0.752809	0.910112	0.674157	
ds_1082_5.vw.gz 		92	0.880435	0.826087	0.684783	
ds_1083_7.vw.gz 		214	0.911215	0.883178	0.887850	
ds_1084_3.vw.gz 		220	0.740909	0.736364	0.690909	
ds_1086_3.vw.gz 		283	0.593640	0.915194	0.650177	
ds_1087_3.vw.gz 		283	0.462898	0.469965	0.519435	
ds_1088_10.vw.gz 		383	0.971279	0.950392	0.913838	
ds_10_4.vw.gz 		148	0.972973	0.945946	0.513514	
ds_1100_3.vw.gz 		478	0.763598	0.721757	0.571130	
ds_1102_9.vw.gz 		96	0.979167	0.885417	0.854167	
ds_1106_14.vw.gz 		190	0.952632	0.921053	0.947368	
ds_1109_11.vw.gz 		96	1.000000	0.885417	0.916667	
ds_1110_23.vw.gz 		4898431	0.997812	0.997785	0.228865	
ds_1113_23.vw.gz 		494020	0.997700	0.997579	0.249974	
ds_1115_3.vw.gz 		151	0.675497	0.635762	0.662252	
ds_1117_3.vw.gz 		81	0.691358	0.851852	0.530864	
ds_115_10.vw.gz 		1000000	0.962424	0.959994	0.848505	
ds_116_6.vw.gz 		1000000	0.967398	0.967534	0.508346	
ds_1177_22.vw.gz 		1000000	0.993592	0.992709	0.885545	
ds_1179_3.vw.gz 		1000000	0.981405	0.981319	0.038536	
ds_117_6.vw.gz 		1000000	0.967543	0.968178	0.508734	
ds_1183_6.vw.gz 		1000000	0.970545	0.970473	0.595935	
ds_1185_3.vw.gz 		1000000	0.927371	0.927330	0.276093	
ds_1186_5.vw.gz 		1000000	0.856415	0.855108	0.720174	
ds_118_10.vw.gz 		1000000	0.986725	0.986847	0.720885	
ds_119_3.vw.gz 		55296	0.763238	0.763184	0.588921	
ds_11_3.vw.gz 		625	0.792000	0.760000	0.604800	
ds_1209_11.vw.gz 		1000000	0.909922	0.908328	0.909235	
ds_1214_9.vw.gz 		1000000	0.907350	0.906355	0.855014	
ds_1222_2.vw.gz 		20000	0.824100	0.824000	0.175750	
ds_1226_2.vw.gz 		798964	0.895233	0.895232	0.104767	
ds_1233_7.vw.gz 		945	0.887831	0.894180	0.881481	
ds_123_10.vw.gz 		1000000	0.993026	0.993056	0.574812	
ds_125_5.vw.gz 		295245	0.983075	0.983495	0.134996	
ds_127_10.vw.gz 		1000000	0.967765	0.967972	0.864079	
ds_129_6.vw.gz 		1000000	0.988273	0.988082	0.259691	
ds_12_10.vw.gz 		2000	0.945500	0.890000	0.929000	
ds_130_7.vw.gz 		1000000	0.988788	0.988981	0.477980	
ds_133_7.vw.gz 		137781	0.977834	0.973320	0.699400	
ds_134_19.vw.gz 		1000000	0.990407	0.990634	0.848145	
ds_1351_6.vw.gz 		1000000	0.982366	0.981034	0.274515	
ds_1352_6.vw.gz 		1000000	0.979886	0.975652	0.272943	
ds_1353_6.vw.gz 		1000000	0.974455	0.976708	0.272324	
ds_1354_6.vw.gz 		1000000	0.984492	0.982694	0.256012	
ds_1355_6.vw.gz 		1000000	0.981582	0.979767	0.274381	
ds_1356_6.vw.gz 		1000000	0.979935	0.979435	0.274399	
ds_1357_6.vw.gz 		1000000	0.987854	0.987909	0.256957	
ds_1358_6.vw.gz 		1000000	0.981415	0.982608	0.273462	
ds_1359_6.vw.gz 		1000000	0.979002	0.978815	0.274857	
ds_1360_6.vw.gz 		1000000	0.982275	0.977269	0.270765	
ds_1361_6.vw.gz 		1000000	0.978087	0.975115	0.271155	
ds_1362_6.vw.gz 		1000000	0.977075	0.979243	0.270457	
ds_1363_6.vw.gz 		1000000	0.986773	0.986347	0.262105	
ds_1364_6.vw.gz 		1000000	0.979733	0.976853	0.270743	
ds_1365_6.vw.gz 		1000000	0.975196	0.981893	0.270777	
ds_1366_6.vw.gz 		1000000	0.983655	0.983445	0.257547	
ds_1367_6.vw.gz 		1000000	0.984568	0.982859	0.271856	
ds_1368_6.vw.gz 		1000000	0.983931	0.984977	0.271000	
ds_136_5.vw.gz 		1000000	0.981695	0.983787	0.241076	
ds_1378_26.vw.gz 		1000000	0.964881	0.963434	0.963343	
ds_1379_26.vw.gz 		1000000	0.963821	0.962956	0.961798	
ds_1380_26.vw.gz 		1000000	0.963491	0.963012	0.961203	
ds_1381_26.vw.gz 		1000000	0.966834	0.966131	0.961750	
ds_1382_26.vw.gz 		1000000	0.965426	0.960555	0.961882	
