Started Training CB and IGL on Wed Aug 18 02:05:45 UTC 2021.
Saving to ../notes/result_2021-08-18_02:05:45.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
|: -----------------------------------------------------------------------------------------------------:|
ds_1041_10.vw.gz 		3468	0.644175	0.545271	0.545271	
ds_1044_3.vw.gz 		10936	0.624360	0.742502	0.695684	
ds_1047_11.vw.gz 		203	0.798030	0.684729	0.684729	
ds_1057_6.vw.gz 		76	0.250000	0.250000	0.250000	
ds_1077_3.vw.gz 		105	0.857143	0.657143	0.657143	
ds_1078_3.vw.gz 		105	0.466667	0.466667	0.466667	
ds_1079_5.vw.gz 		95	0.715789	0.757895	0.757895	
ds_1080_5.vw.gz 		113	0.893805	0.840708	0.840708	
ds_1081_4.vw.gz 		89	0.910112	0.629213	0.629213	
ds_1082_5.vw.gz 		92	0.826087	0.619565	0.619565	
ds_1083_7.vw.gz 		214	0.901869	0.915888	0.915888	
ds_1084_3.vw.gz 		220	0.709091	0.740909	0.740909	
ds_1086_3.vw.gz 		283	0.915194	0.819788	0.819788	
ds_1087_3.vw.gz 		283	0.766784	0.685512	0.685512	
ds_1088_10.vw.gz 		383	0.950392	0.887728	0.887728	
ds_10_4.vw.gz 		148	0.445946	0.709459	0.709459	
ds_1100_3.vw.gz 		478	0.564854	0.564854	0.564854	
ds_1102_9.vw.gz 		96	0.885417	0.958333	0.958333	
ds_1106_14.vw.gz 		190	0.921053	0.942105	0.942105	
ds_1109_11.vw.gz 		96	0.916667	0.979167	0.979167	
ds_1110_23.vw.gz 		4898431	0.223308	0.223078	0.222633	
ds_1113_23.vw.gz 		494020	0.241938	0.245591	0.246282	
ds_1115_3.vw.gz 		151	0.682119	0.655629	0.688742	
ds_1117_3.vw.gz 		81	0.456790	0.456790	0.456790	
ds_115_10.vw.gz 		1000000	0.848780	0.959717	0.923624	
ds_116_6.vw.gz 		1000000	0.507966	0.509267	0.509019	
ds_1177_22.vw.gz 		1000000	0.881524	0.881692	0.880476	
ds_1179_3.vw.gz 		1000000	0.038545	0.038545	0.038545	
ds_117_6.vw.gz 		1000000	0.510410	0.508706	0.509717	
ds_1183_6.vw.gz 		1000000	0.596553	0.595968	0.596345	
ds_1185_3.vw.gz 		1000000	0.276135	0.276791	0.276191	
ds_1186_5.vw.gz 		1000000	0.721577	0.721302	0.725123	
ds_118_10.vw.gz 		1000000	0.721307	0.736245	0.743296	
ds_119_3.vw.gz 		55296	0.588216	0.766529	0.765191	
ds_11_3.vw.gz 		625	0.622400	0.702400	0.598400	
ds_1209_11.vw.gz 		1000000	0.908171	0.909697	0.908924	
ds_1214_9.vw.gz 		1000000	0.854009	0.869681	0.854871	
ds_1222_2.vw.gz 		20000	0.176000	0.176000	0.176000	
ds_1226_2.vw.gz 		798964	0.104763	0.104763	0.104763	
ds_1233_7.vw.gz 		945	0.863492	0.802116	0.811640	
ds_123_10.vw.gz 		1000000	0.573879	0.576840	0.578677	
ds_125_5.vw.gz 		295245	0.135406	0.135410	0.135406	
ds_127_10.vw.gz 		1000000	0.865953	0.967561	0.963680	
ds_129_6.vw.gz 		1000000	0.259818	0.263240	0.261084	
ds_12_10.vw.gz 		2000	0.890000	0.928000	0.929000	
ds_130_7.vw.gz 		1000000	0.475940	0.477840	0.475725	
ds_133_7.vw.gz 		137781	0.692556	0.694878	0.695894	
ds_134_19.vw.gz 		1000000	0.848857	0.853135	0.854747	
ds_1351_6.vw.gz 		1000000	0.274530	0.274604	0.274617	
ds_1352_6.vw.gz 		1000000	0.272619	0.273080	0.273079	
ds_1353_6.vw.gz 		1000000	0.272267	0.272392	0.272552	
ds_1354_6.vw.gz 		1000000	0.256220	0.255926	0.256912	
ds_1355_6.vw.gz 		1000000	0.274278	0.274191	0.274172	
ds_1356_6.vw.gz 		1000000	0.274046	0.274082	0.274136	
